video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag,blob_importance,rank_by_motion_energy,rank_by_importance,persistence_track_id,persistence_frames
VIRAT_S_000201_06_001354_001397,12,0.4,0,merged,1,9,14,1,0.9849,0.8988,896,324,960,360,64,36,0.0025,416.4203,0.180738,1.0,0.180738,928.0,342.0,1.7778,19.996001,5.28106,1.0,True,0.183594,0.0,0.0,0.0,0.51458,0.550166,False,0.61,1,1,2,14
VIRAT_S_000201_06_001354_001397,12,0.4,1,merged,2,11,17,1,0.5207,0.7389,1088,396,1152,432,64,36,0.0025,274.806,0.119273,0.562523,0.119273,1120.0,414.0,1.7778,19.996001,3.485101,1.0,True,0.19184,0.0,0.0,0.0,0.458615,0.550166,False,0.0,2,2,3,39
VIRAT_S_000201_06_001354_001397,18,0.6,0,merged,0,19,3,1,0.8844,0.6593,192,684,256,720,64,36,0.0025,350.374,0.152072,0.452745,0.152072,224.0,702.0,1.7778,19.996001,5.102964,1.0,True,0.046441,0.0,0.0,0.0,0.430755,0.548967,True,0.405,2,1,5,6
VIRAT_S_000201_06_001354_001397,18,0.6,1,merged,1,12,17,2,1.0235,0.5741,1088,396,1152,468,64,72,0.005,875.2979,0.189952,1.0,0.189952,1120.0,432.0,0.8889,14.140722,6.374066,0.245131,False,0.125868,0.0,0.0,0.0,0.400935,0.548967,True,0.195,1,2,3,39
VIRAT_S_000201_06_001354_001397,24,0.8,0,merged,0,8,14,2,0.7549,0.783,896,288,960,360,64,72,0.005,570.8662,0.123886,0.616593,0.123886,928.0,324.0,0.8889,14.140722,4.398886,0.245131,False,0.142144,0.0,0.0,0.0,0.47405,0.547854,True,0.33,2,1,2,14
VIRAT_S_000201_06_001354_001397,24,0.8,1,merged,1,12,17,2,1.1602,0.7417,1088,396,1152,468,64,72,0.005,886.4964,0.192382,1.0,0.192382,1120.0,432.0,0.8889,14.140722,6.831016,0.0,False,0.119358,0.0,0.0,0.0,0.459595,0.547854,True,0.27,1,2,3,39
VIRAT_S_000201_06_001354_001397,30,1.0,0,merged,0,19,3,1,0.8187,0.9525,192,684,256,720,64,36,0.0025,279.681,0.121389,0.452955,0.121389,224.0,702.0,1.7778,19.996001,2.95689,0.0,True,0.046007,0.0,0.0,0.0,0.533375,0.548915,False,0.24,3,3,5,6
VIRAT_S_000201_06_001354_001397,30,1.0,1,merged,2,9,14,1,0.8067,0.7168,896,324,960,360,64,36,0.0025,321.9787,0.139748,0.866607,0.139748,928.0,342.0,1.7778,19.996001,3.404077,0.0,True,0.194878,0.0,0.0,0.0,0.45088,0.548915,False,0.457896,1,1,2,14
VIRAT_S_000201_06_001354_001397,30,1.0,2,merged,3,11,17,1,0.6931,0.5651,1088,396,1152,432,64,36,0.0025,309.9764,0.134538,1.0,0.134538,1120.0,414.0,1.7778,19.996001,3.277185,0.0,True,0.183594,0.0,0.0,0.0,0.397785,0.548915,False,0.255004,2,2,3,39
VIRAT_S_000201_06_001354_001397,36,1.2,0,merged,1,9,14,1,1.4937,0.9467,896,324,960,360,64,36,0.0025,503.4012,0.21849,0.925875,0.21849,928.0,342.0,1.7778,19.996001,6.935855,0.0,True,0.181424,0.0,0.0,0.0,0.531345,0.549004,True,0.595,2,1,2,14
