video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag
VIRAT_S_000201_06_001354_001397,6,0.2,0,raw,0,11,17,6,0.0,0.0,1024,360,1216,468,192,108,0.0225,1378.7418,0.06649,0.685785,0.06649,1120.0,414.0,1.7778,6.666519,1.732403,1.0,False,0.19102,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,1,raw,1,16,0,8,0.0,0.0,0,468,128,720,128,252,0.035,1817.1134,0.056334,0.628604,0.056334,64.0,594.0,0.5079,5.345148,1.467785,1.0,False,0.178292,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,2,raw,2,9,10,27,0.0,0.0,256,288,960,432,704,144,0.11,5878.2939,0.057985,1.0,0.057985,608.0,360.0,4.8889,3.0151,1.510801,1.0,False,0.136304,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,3,raw,3,18,2,5,0.0,0.0,128,576,256,720,128,144,0.02,1164.9259,0.063201,0.454246,0.063201,192.0,648.0,0.8889,7.070891,1.646709,1.0,False,0.13482,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,4,raw,4,8,18,2,0.0,0.0,1088,288,1216,324,128,36,0.005,241.7776,0.052469,0.114978,0.052469,1152.0,306.0,3.5556,14.140722,1.367082,1.0,False,0.214627,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,5,raw,5,19,15,1,0.0,0.0,960,684,1024,720,64,36,0.0025,118.4924,0.051429,0.120727,0.051429,992.0,702.0,1.7778,19.996001,1.339982,1.0,True,0.0,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,6,raw,6,15,5,1,0.0,0.0,320,540,384,576,64,36,0.0025,116.9005,0.050738,0.117182,0.050738,352.0,558.0,1.7778,19.996001,1.32198,1.0,True,0.125868,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,7,raw,7,16,16,1,0.0,0.0,1024,576,1088,612,64,36,0.0025,127.7845,0.055462,0.138202,0.055462,1056.0,594.0,1.7778,19.996001,1.445063,1.0,True,0.130642,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,8,raw,8,15,17,1,0.0,0.0,1088,540,1152,576,64,36,0.0025,121.0013,0.052518,0.14919,0.052518,1120.0,558.0,1.7778,19.996001,1.368354,1.0,True,0.121962,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,6,0.2,9,raw,9,3,0,1,0.0,0.0,0,108,64,144,64,36,0.0025,157.4218,0.068325,0.220027,0.068325,32.0,126.0,1.7778,19.996001,1.780219,1.0,True,0.110243,0.0,0.0,0.0,0.0,0.548942,False
VIRAT_S_000201_06_001354_001397,12,0.4,0,raw,0,16,16,1,0.6257,0.5394,1024,576,1088,612,64,36,0.0025,230.306,0.099959,0.265025,0.099959,1056.0,594.0,1.7778,19.996001,2.920751,1.0,True,0.130208,0.0,0.0,0.0,0.0,0.550166,False
VIRAT_S_000201_06_001354_001397,12,0.4,1,raw,1,9,14,1,0.9849,0.8988,896,324,960,360,64,36,0.0025,416.4203,0.180738,1.0,0.180738,928.0,342.0,1.7778,19.996001,5.28106,1.0,True,0.183594,0.0,0.0,0.0,0.0,0.550166,False
VIRAT_S_000201_06_001354_001397,12,0.4,2,raw,2,11,17,1,0.5207,0.7389,1088,396,1152,432,64,36,0.0025,274.806,0.119273,0.562523,0.119273,1120.0,414.0,1.7778,19.996001,3.485101,1.0,True,0.19184,0.0,0.0,0.0,0.0,0.550166,False
VIRAT_S_000201_06_001354_001397,18,0.6,0,raw,0,19,3,1,0.8844,0.6593,192,684,256,720,64,36,0.0025,350.374,0.152072,0.452745,0.152072,224.0,702.0,1.7778,19.996001,5.102964,1.0,True,0.046441,0.0,0.0,0.0,0.0,0.548967,True
VIRAT_S_000201_06_001354_001397,18,0.6,1,raw,1,12,17,2,1.0235,0.5741,1088,396,1152,468,64,72,0.005,875.2979,0.189952,1.0,0.189952,1120.0,432.0,0.8889,14.140722,6.374066,0.245131,False,0.125868,0.0,0.0,0.0,0.0,0.548967,True
VIRAT_S_000201_06_001354_001397,24,0.8,0,raw,0,8,14,2,0.7549,0.783,896,288,960,360,64,72,0.005,570.8662,0.123886,0.616593,0.123886,928.0,324.0,0.8889,14.140722,4.398886,0.245131,False,0.142144,0.0,0.0,0.0,0.0,0.547854,True
VIRAT_S_000201_06_001354_001397,24,0.8,1,raw,1,12,17,2,1.1602,0.7417,1088,396,1152,468,64,72,0.005,886.4964,0.192382,1.0,0.192382,1120.0,432.0,0.8889,14.140722,6.831016,0.0,False,0.119358,0.0,0.0,0.0,0.0,0.547854,True
VIRAT_S_000201_06_001354_001397,30,1.0,0,raw,0,19,3,1,0.8187,0.9525,192,684,256,720,64,36,0.0025,279.681,0.121389,0.452955,0.121389,224.0,702.0,1.7778,19.996001,2.95689,0.0,True,0.046007,0.0,0.0,0.0,0.0,0.548915,False
VIRAT_S_000201_06_001354_001397,30,1.0,1,raw,1,9,12,1,0.5634,0.53,768,324,832,360,64,36,0.0025,199.8619,0.086746,0.151001,0.086746,800.0,342.0,1.7778,19.996001,2.113013,1.0,True,0.0,0.0,0.0,0.0,0.0,0.548915,False
VIRAT_S_000201_06_001354_001397,30,1.0,2,raw,2,9,14,1,0.8067,0.7168,896,324,960,360,64,36,0.0025,321.9787,0.139748,0.866607,0.139748,928.0,342.0,1.7778,19.996001,3.404077,0.0,True,0.194878,0.0,0.0,0.0,0.0,0.548915,False
VIRAT_S_000201_06_001354_001397,30,1.0,3,raw,3,11,17,1,0.6931,0.5651,1088,396,1152,432,64,36,0.0025,309.9764,0.134538,1.0,0.134538,1120.0,414.0,1.7778,19.996001,3.277185,0.0,True,0.183594,0.0,0.0,0.0,0.0,0.548915,False
