track_id,class_name,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,num_visible_frames,num_observed_motion_frames,num_weak_motion_frames,num_detector_only_frames,observed_motion_ratio,weak_motion_ratio,mean_motion_inside_bbox,max_motion_inside_bbox,mean_motion_coverage,mean_motion_density,max_motion_density,associated_motion_blob_count,mean_associated_blob_importance,track_displacement_px,normalized_track_displacement,trajectory_length,mean_speed,median_speed,bbox_jitter_score,class_weight,track_motion_importance,is_stationary_track,is_moving_track,track_state
1,car,6,1278,0.2,42.6,42.4,213,1,11,201,0.004695,0.051643,0.021875,0.050956,0.03583,0.976259,2.913088,1,0.405,0.11,7.8e-05,45.4,1.0709,0.8566,45.405,0.95,0.0,True,False,stationary_vehicle
2,car,6,1278,0.2,42.6,42.4,213,17,12,184,0.079812,0.056338,0.022843,0.052064,0.044393,1.016647,2.976464,17,0.151405,0.84,0.000575,58.51,1.38,1.1286,58.5139,0.95,0.0,True,False,stationary_vehicle
3,car,6,1278,0.2,42.6,42.4,213,7,11,195,0.032864,0.051643,0.022169,0.052036,0.035585,0.989288,2.974866,7,0.328455,0.4,0.000274,158.99,3.7497,1.9909,158.9862,0.95,0.0,True,False,stationary_vehicle
4,car,6,1278,0.2,42.6,42.4,213,0,5,208,0.0,0.023474,0.019538,0.04564,0.0207,0.869122,2.609172,0,0.0,0.72,0.000488,24.3,0.5732,0.4486,24.3036,0.95,0.0,True,False,stationary_vehicle
5,car,6,1278,0.2,42.6,42.4,213,9,10,194,0.042254,0.046948,0.02343,0.057205,0.049584,1.045379,3.27038,9,0.347699,1.07,0.000729,31.11,0.7338,0.6708,29.0653,0.95,0.0,True,False,stationary_vehicle
6,car,6,1278,0.2,42.6,42.4,213,11,10,192,0.051643,0.046948,0.021463,0.048819,0.031528,0.96071,2.790952,12,0.114073,0.98,0.000667,55.09,1.2993,1.053,55.0889,0.95,0.0,True,False,stationary_vehicle
7,car,6,1278,0.2,42.6,42.4,213,0,20,193,0.0,0.093897,0.025829,0.059102,0.075737,1.152019,3.378816,0,0.0,0.76,0.000516,44.12,1.0407,0.8433,44.1237,0.95,0.0,True,False,stationary_vehicle
8,car,6,1278,0.2,42.6,42.4,213,0,7,206,0.0,0.032864,0.019712,0.044844,0.022365,0.878243,2.5568,0,0.0,0.63,0.000431,60.59,1.4289,1.0989,60.5856,0.95,0.0,True,False,stationary_vehicle
9,car,6,1278,0.2,42.6,42.4,213,0,11,202,0.0,0.051643,0.02281,0.051437,0.052171,1.017428,2.902674,0,0.0,0.52,0.000357,40.28,0.9501,0.7858,40.2831,0.95,0.0,True,False,stationary_vehicle
10,car,6,1044,0.2,34.8,34.6,172,0,49,123,0.0,0.284884,0.034017,0.091316,0.136955,1.541663,5.071038,0,0.0,22.21,0.015121,354.24,10.2383,5.9603,15.9518,0.95,0.0,True,False,stationary_vehicle
11,car,6,1278,0.2,42.6,42.4,213,0,19,194,0.0,0.089202,0.026391,0.061823,0.073491,1.181141,3.534354,0,0.0,0.33,0.000227,30.33,0.7154,0.6103,30.3348,0.95,0.0,True,False,stationary_vehicle
12,car,6,1278,0.2,42.6,42.4,213,0,18,195,0.0,0.084507,0.025663,0.064057,0.076401,1.146265,3.662068,0,0.0,0.38,0.000262,68.44,1.6142,1.2525,68.4414,0.95,0.0,True,False,stationary_vehicle
13,car,6,1278,0.2,42.6,42.4,213,0,15,198,0.0,0.070423,0.02597,0.063141,0.068681,1.160875,3.609694,0,0.0,0.33,0.000227,63.73,1.503,1.1843,63.7259,0.95,0.0,True,False,stationary_vehicle
