frame_idx,timestamp_sec,motion_magnitude_mean,motion_magnitude_sum,motion_area_ratio,motion_entropy,motion_concentration,small_motion_energy,new_motion_region_score,scene_change_score,global_motion_dx,global_motion_dy,global_motion_scale,global_motion_rotation,global_motion_score,residual_motion_mean,residual_motion_area_ratio,camera_motion_flag
5,0.2086,0.064774,59695.4453,0.564246,3.243879,0.261152,562.79802,0.0,0.0,-0.0176,-0.02,0.999991,4e-06,0.550085,0.026612,0.150881,False
10,0.4172,0.04083,37628.5234,0.274168,2.644566,0.264213,1050.889381,0.011365,0.0,-0.0211,-0.0139,1.000015,-5e-06,0.550092,0.018426,0.064144,True
15,0.6258,0.045305,41753.0781,0.310068,2.748968,0.277985,390.042333,0.011781,0.0,-0.0201,-0.0085,1.000017,-7e-06,0.55009,0.014781,0.002338,True
20,0.8344,0.049177,45321.9688,0.360561,2.961351,0.287587,743.745584,0.004508,0.0,-0.0121,-0.0026,1.000013,-4e-06,0.550057,0.014597,0.044966,True
25,1.043,0.048341,44550.6914,0.338737,2.902366,0.283483,917.834622,0.003164,0.0,-0.0093,-0.0003,1.00001,-2e-06,0.550042,0.016999,0.025005,True
30,1.2516,0.039019,35959.9766,0.255243,2.716196,0.319751,424.255597,0.001547,0.0,-0.0109,-0.0025,1.000006,4e-06,0.550041,0.009132,0.003015,True
35,1.4602,0.033534,30904.8008,0.179684,2.416071,0.276729,562.539319,0.000657,0.0,-0.0205,-0.0024,1.000011,4e-06,0.550075,0.012709,0.022178,True
40,1.6688,0.030406,28022.0234,0.164621,2.357984,0.322159,312.989145,0.001584,0.0,-0.0173,-0.0054,1.000011,1e-06,0.550066,0.007332,0.001512,True
45,1.8773,0.032766,30196.9062,0.190103,2.491002,0.337823,656.346207,0.003025,0.0,-0.0047,0.0013,0.999999,-0.0,0.550015,0.008647,0.030293,True
50,2.0859,0.054334,50074.6406,0.440687,3.109647,0.280132,785.379082,0.030586,0.272964,-0.0041,0.0084,1.000002,-7e-06,0.550032,0.021476,0.118185,False
55,2.2945,0.046564,42913.2656,0.339205,2.908872,0.280528,807.02861,0.018017,0.061926,-0.0072,-0.0039,1.000006,5e-06,0.550035,0.01736,0.037845,True
60,2.5031,0.04191,38624.082,0.271986,2.730294,0.288986,665.40199,0.011358,0.0,-0.0152,-0.0063,1.000014,2e-06,0.550068,0.013812,0.023155,True
65,2.7117,0.039134,36066.1797,0.240713,2.661307,0.305306,489.07446,0.006429,0.0,-0.0142,-0.0084,1.000013,1e-06,0.550064,0.012798,0.005409,True
70,2.9203,0.038606,35579.332,0.263787,2.652483,0.27568,763.731737,0.005318,0.0,-0.0195,-0.008,1.00001,-3e-06,0.550073,0.015474,0.068867,True
75,3.1289,0.051592,47546.7656,0.387788,2.997174,0.272681,812.80154,0.0086,0.275082,-0.0065,0.005,0.999992,-8e-06,0.550041,0.020389,0.046569,True
80,3.3375,0.048716,44897.0664,0.366596,2.944172,0.280901,840.740684,0.011207,0.194427,0.0077,-0.0013,0.999984,6e-06,0.550053,0.018726,0.092797,False
85,3.5461,0.035797,32990.168,0.201028,2.466766,0.281175,430.491155,0.001544,0.0,-0.0014,-0.0016,0.999993,3e-06,0.550021,0.014842,0.006061,True
90,3.7547,0.025948,23913.9551,0.132979,2.170711,0.336566,281.09116,0.001634,0.0,-0.0091,-0.004,1.000011,-0.0,0.550044,0.004634,0.00143,True
95,3.9633,0.056201,51794.6016,0.474106,3.13622,0.258472,589.503563,0.020043,0.353038,-0.017,0.003,1.000026,-7e-06,0.550095,0.019514,0.111744,False
100,4.1719,0.064352,59306.6016,0.489865,3.366334,0.296159,742.569152,0.011142,0.466533,-0.0073,-0.0013,1.000017,-1.3e-05,0.550061,0.016253,0.016044,True
105,4.3805,0.02626,24201.3184,0.141758,2.190524,0.333597,1033.652061,0.001712,0.0,-0.0051,-0.0084,1.000016,2e-06,0.550054,0.009839,0.041239,True
110,4.5891,0.038974,35918.0938,0.233382,2.53519,0.262456,897.049012,0.00344,0.0,-0.0058,-0.002,1.000005,9e-06,0.550032,0.018785,0.041533,True
115,4.7977,0.027391,25243.3828,0.127577,2.203938,0.326458,251.917458,0.00164,0.0,0.0071,0.0107,0.999974,8e-06,0.550085,0.00738,0.00826,True
120,5.0063,0.041352,38109.6328,0.32539,2.715796,0.246244,1372.234171,0.011043,0.0,0.0054,0.0021,0.999986,2e-06,0.550042,0.025424,0.164123,False
125,5.2149,0.0484,44605.5156,0.361186,3.020025,0.303827,1136.228382,0.01776,0.161839,-0.014,-0.0008,1.000019,-1.3e-05,0.55008,0.017073,0.041118,True
130,5.4234,0.062094,57226.2539,0.522278,3.30257,0.259839,506.004176,0.038839,0.502079,-0.015,-0.0066,1.000031,-1.1e-05,0.550106,0.028748,0.192072,False
135,5.632,0.039283,36203.2969,0.260063,2.629351,0.267277,704.109249,0.006631,0.0,-0.0083,-0.0045,1.000015,5e-06,0.550055,0.013658,0.007535,True
140,5.8406,0.034494,31789.8359,0.217157,2.487573,0.267641,995.143558,0.002251,0.0,-0.016,-0.0201,1.000016,2.1e-05,0.550111,0.017832,0.084351,False
145,6.0492,0.032173,29650.7344,0.174387,2.38445,0.289774,472.056417,0.00374,0.0,-0.0118,-0.0031,1.000008,-1e-06,0.548945,0.010456,0.00251,True
150,6.2578,0.029854,27513.4297,0.167146,2.358863,0.339657,289.378616,0.003248,0.0,-0.0144,0.0002,1.000007,-1.2e-05,0.550058,0.00551,0.003976,True
155,6.4664,0.055815,51438.9414,0.46603,3.161483,0.265386,543.999971,0.024803,0.467749,-0.0085,-0.0025,1.000004,1e-06,0.550029,0.021806,0.139281,False
160,6.675,0.04365,40228.2148,0.294298,2.870202,0.318738,539.352134,0.014641,0.065086,0.0016,-0.0028,0.999999,3e-06,0.550012,0.007411,0.001777,True
165,6.8836,0.061572,56744.9297,0.545406,3.196511,0.24727,793.102993,0.030241,0.485433,0.0052,0.0108,0.999991,-6e-06,0.550052,0.029752,0.180858,False
170,7.0922,0.056059,51663.5547,0.421476,3.113068,0.286241,934.698442,0.008368,0.249388,-0.0021,-0.0004,1.000006,1e-06,0.550017,0.013867,0.007265,True
175,7.3008,0.035265,32500.209,0.204281,2.570379,0.335146,545.068309,0.001603,0.0,-0.0083,-0.005,1.000013,-2e-06,0.550048,0.009018,0.009375,True
180,7.5094,0.058592,53998.4805,0.498275,3.238203,0.260403,666.047555,0.007362,0.301295,0.0004,0.0007,0.999997,-1e-06,0.550009,0.023302,0.159514,False
185,7.718,0.032793,30222.1367,0.16741,2.348936,0.273062,592.732899,0.001326,0.0,0.0004,0.0021,0.999991,1e-06,0.550023,0.015735,0.006522,True
190,7.9266,0.036435,33578.6523,0.220432,2.541187,0.278571,769.145798,0.0022,0.0,0.0042,0.003,0.99998,9e-06,0.548956,0.013065,0.037541,True
195,8.1352,0.008768,8080.6665,0.003139,0.668659,0.332761,15.904985,0.000109,0.0,0.0002,0.0,1.000006,1e-06,0.548912,0.007699,0.003554,True
200,8.3438,0.008366,7709.8276,0.008788,0.751857,0.437158,106.024254,0.001226,0.0,-0.0076,-0.009,1.000022,-4e-06,0.547872,0.007434,0.018803,True
205,8.5524,0.028628,26383.5059,0.112393,2.122114,0.241502,1623.389928,0.012691,0.0,-0.0037,-0.0018,1.000012,-6e-06,0.548936,0.020446,0.063436,True
