frame_idx,timestamp_sec,motion_magnitude_mean,motion_magnitude_sum,motion_area_ratio,motion_entropy,motion_concentration,small_motion_energy,new_motion_region_score,scene_change_score,global_motion_dx,global_motion_dy,global_motion_scale,global_motion_rotation,global_motion_score,residual_motion_mean,residual_motion_area_ratio,camera_motion_flag,global_flow_method,original_motion_mean,global_motion_mean,flow_direction_coherence,background_jitter_flag,background_jitter_score,jitter_suppression_applied
6,0.2002,0.068404,141843.2188,0.482688,3.350273,0.31749,1116.856914,0.0,0.0,-2.3631,-0.1235,1.000007,7.4e-05,0.553947,0.068404,0.482688,False,affine,0.207989,0.494157,0.997649,False,0.662486,False
12,0.4004,0.095988,199040.9844,0.828111,3.554466,0.251295,292.423924,0.048577,0.403246,-1.8501,-0.0266,1.000035,-5.1e-05,0.553133,0.095988,0.828111,False,affine,0.268242,0.499857,0.979226,False,0.601792,False
18,0.6006,0.106128,220066.0938,0.810121,3.903402,0.24853,365.251694,0.002413,0.291149,-0.287,0.046,0.999989,-4.2e-05,0.550533,0.106128,0.810121,False,affine,0.14453,0.482853,0.862508,False,0.598164,False
24,0.8008,0.065653,136138.6094,0.413385,3.176792,0.324946,1577.051273,0.000144,0.0,1.4948,0.0341,0.999992,-8e-06,0.552464,0.065653,0.413385,False,affine,0.208708,0.500202,0.974526,False,0.661051,False
30,1.001,0.079842,165560.1406,0.555886,3.592045,0.283276,990.780539,0.000196,0.0,1.4503,0.0091,0.999979,5.9e-05,0.552461,0.079842,0.555886,False,affine,0.171939,0.496133,0.974375,False,0.641585,False
36,1.2012,0.085477,177245.75,0.774343,3.39674,0.228094,426.323038,0.000395,0.027334,0.8323,0.0115,1.000012,-5.7e-05,0.551433,0.085477,0.774343,False,affine,0.220724,0.492517,0.965446,False,0.618679,False
42,1.4014,0.089583,185758.9062,0.788245,3.531362,0.222997,386.55847,0.000148,0.071794,0.3934,-0.0524,1.000027,4.9e-05,0.550741,0.089583,0.788245,False,affine,0.121642,0.497424,0.847063,False,0.639796,False
48,1.6016,0.082141,170327.5156,0.666656,3.375662,0.280834,1257.469248,2.3e-05,0.0,-2.194,-0.0646,1.000024,1.8e-05,0.553646,0.082141,0.666656,False,affine,0.209563,0.500479,0.985187,False,0.631274,False
54,1.8018,0.066504,137902.5,0.481571,3.316357,0.292027,1428.724935,6.4e-05,0.0,-1.5329,0.0161,0.999979,-3e-05,0.55257,0.066504,0.481571,False,affine,0.224779,0.500166,0.993689,False,0.665099,False
60,2.002,0.079574,165004.625,0.828638,3.027523,0.191877,324.441795,0.000242,0.0,0.63,0.063,0.999918,3.5e-05,0.551214,0.079574,0.828638,False,affine,0.115333,0.505556,0.830431,False,0.661833,False
66,2.2022,0.058982,122304.1719,0.473951,3.02196,0.278289,2205.131434,8e-06,0.0,0.3641,-0.0639,1.000054,-3.4e-05,0.550732,0.058982,0.473951,False,affine,0.072646,0.503979,0.855886,False,0.758085,False
72,2.4024,0.089103,184763.875,0.874291,3.229987,0.197029,154.169685,0.000394,0.100211,0.5538,0.0758,1.000039,-1.7e-05,0.550998,0.089103,0.874291,False,affine,0.155014,0.502407,0.942034,False,0.632167,False
78,2.6026,0.11331,234960.5469,0.863432,3.93621,0.22821,150.256961,0.000756,0.411113,0.1465,-0.0203,0.999975,1e-06,0.550287,0.11331,0.863432,False,affine,0.102636,0.499484,0.374133,False,0.4982,False
84,2.8028,0.098303,203841.0469,0.904401,3.410453,0.202302,78.958121,0.000167,0.213364,0.3566,0.0098,0.999992,-5e-06,0.550603,0.098303,0.904401,False,affine,0.14163,0.500972,0.873017,False,0.607932,False
90,3.003,0.079413,164671.7031,0.618211,3.543316,0.278579,1154.391698,0.000135,0.0,-0.1556,0.0257,1.000018,-6e-06,0.550295,0.079413,0.618211,False,affine,0.088453,0.497798,0.646641,False,0.636884,False
96,3.2032,0.076988,159643.125,0.783027,3.058623,0.200776,488.985483,7.2e-05,0.0,0.6177,-0.0142,0.999993,-2.7e-05,0.551047,0.076988,0.783027,False,affine,0.174225,0.493286,0.907037,False,0.624551,False
102,3.4034,0.081159,168290.9375,0.687131,3.492287,0.236574,655.283554,2.2e-05,0.0,0.6743,-0.0169,1.000045,2.7e-05,0.551209,0.081159,0.687131,False,affine,0.192066,0.502473,0.944018,False,0.620888,False
108,3.6036,0.118788,246319.6875,0.952722,3.684988,0.201235,22.449418,6.1e-05,0.439027,-0.1179,0.0126,0.999977,1.8e-05,0.550251,0.118788,0.952722,False,affine,0.132302,0.506808,0.295298,False,0.441587,False
114,3.8038,0.062483,129565.2891,0.576579,3.063201,0.212552,1014.652619,4e-06,0.0,0.3418,0.0625,0.999968,-6.5e-05,0.550684,0.062483,0.576579,False,affine,0.0611,0.488765,0.680145,False,0.711188,False
120,4.004,0.071715,148708.875,0.742241,2.955535,0.201464,581.043237,4.7e-05,0.0,0.3048,-0.0093,0.999994,2e-05,0.550527,0.071715,0.742241,False,affine,0.098535,0.491621,0.845029,False,0.700595,False
126,4.2042,0.093427,193730.3125,0.73898,3.737969,0.25097,560.300621,3.9e-05,0.098824,-1.0638,-0.1024,1.000056,0.0,0.551847,0.093427,0.73898,False,affine,0.196254,0.498261,0.982004,False,0.607747,False
132,4.4044,0.095593,198222.1406,0.770924,3.601059,0.283175,579.674281,2.9e-05,0.080527,-1.9567,0.0498,0.999872,6.2e-05,0.553485,0.095593,0.770924,False,affine,0.24772,0.501957,0.981473,False,0.603255,False
138,4.6046,0.079606,165071.4688,0.693692,3.467687,0.249568,680.344104,6.1e-05,0.0,-0.3945,0.0231,1.000065,-9.1e-05,0.550846,0.079606,0.693692,False,affine,0.12593,0.488031,0.898744,False,0.670489,False
144,4.8048,0.088401,183308.75,0.792527,3.445656,0.226103,407.774244,0.000329,0.030945,0.7341,0.0521,0.999976,-8e-06,0.551253,0.088401,0.792527,False,affine,0.175795,0.500461,0.910376,False,0.600982,False
150,5.005,0.074838,155184.5312,0.618272,3.548366,0.264433,1306.604096,7.8e-05,0.0,0.0527,-0.0219,0.99998,2.8e-05,0.550155,0.074838,0.618272,False,affine,0.075275,0.457996,0.233604,False,0.536766,False
