video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag,blob_importance,rank_by_motion_energy,rank_by_importance,persistence_track_id,persistence_frames,selection_criterion
VIRAT_S_050201_06_001168_001240,6,0.2002,0,merged,"0,1,2,3,4,5,6",10,10,244,0.0,0.0,0,0,1920,1080,1920,1080,1.0,141843.2188,0.068404,1.0,0.068404,960.0,540.0,1.7778,1.0,1.0,1.0,False,0.060706,0.0,0.0,0.0,0.2,0.553947,False,0.3,1,1,0,2,importance
VIRAT_S_050201_06_001168_001240,12,0.4004,0,merged,0,9,10,386,1.6217,0.9903,0,0,1920,1080,1920,1080,1.0,199040.9844,0.095988,1.0,0.095988,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.059256,0.0,0.0,0.0,0.546605,0.553133,False,0.3,1,1,0,2,importance
VIRAT_S_050201_06_001168_001240,18,0.6006,0,merged,1,13,14,1,0.5819,0.9143,1344,702,1440,756,96,54,0.0025,1498.9218,0.289144,0.563105,0.289144,1392.0,729.0,1.7778,19.996001,2.724494,1.0,True,0.002122,0.0,0.0,0.0,0.520005,0.550533,False,0.36,1,1,1,3,importance
VIRAT_S_050201_06_001168_001240,18,0.6006,1,merged,0,1,12,1,0.6023,0.9565,1152,54,1248,108,96,54,0.0025,1145.3969,0.220948,0.694613,0.220948,1200.0,81.0,1.7778,19.996001,2.081914,1.0,True,0.03125,0.0,0.0,0.0,0.534775,0.550533,False,0.24,2,2,2,3,importance
VIRAT_S_050201_06_001168_001240,24,0.8008,1,merged,23,0,6,1,0.9154,0.9402,576,0,672,54,96,54,0.0025,589.562,0.113727,0.257581,0.113727,624.0,27.0,1.7778,19.996001,1.73224,1.0,True,0.0,0.0,0.0,0.0,0.52907,0.552464,True,0.406715,5,1,3,2,importance
VIRAT_S_050201_06_001168_001240,24,0.8008,2,merged,"0,21,22",12,0,5,0.8761,0.9202,0,486,192,810,192,324,0.03,9517.0625,0.152988,0.757608,0.152988,96.0,648.0,0.5926,5.773406,2.330238,1.0,False,0.013455,0.0,0.0,0.0,0.52207,0.552464,True,0.404683,3,2,4,2,importance
VIRAT_S_050201_06_001168_001240,24,0.8008,3,merged,"2,3,5,11,15,16,20",13,5,14,0.8247,0.9657,384,324,672,1080,288,756,0.105,22097.3555,0.101491,0.31892,0.101491,528.0,702.0,0.381,3.086052,1.545858,1.0,False,0.035099,0.0,0.0,0.0,0.537995,0.552464,True,0.32972,2,3,5,2,importance
VIRAT_S_050201_06_001168_001240,24,0.8008,4,merged,6,1,12,1,1.0648,0.9532,1152,54,1248,108,96,54,0.0025,614.0134,0.118444,0.218814,0.118444,1200.0,81.0,1.7778,19.996001,1.804083,0.0,True,0.029128,0.0,0.0,0.0,0.53362,0.552464,True,0.323206,4,4,2,3,importance
VIRAT_S_050201_06_001168_001240,24,0.8008,0,merged,"1,4,7,8,9,10,12,13,14,17,18,19",12,13,19,1.3402,0.967,1056,324,1632,1026,576,702,0.195,35769.1914,0.088461,0.501933,0.088461,1344.0,675.0,0.8205,2.264548,1.347389,0.655947,False,0.032457,0.0,0.0,0.0,0.53845,0.552464,True,0.19307,1,5,1,3,importance
VIRAT_S_050201_06_001168_001240,30,1.001,0,merged,"2,8,10,11,17,19,20,21,22,23,24,26,27,28",10,13,26,0.99,0.9798,960,162,1632,1026,672,864,0.28,53232.6875,0.091684,0.493838,0.091684,1296.0,594.0,0.7778,1.889819,1.148324,0.854817,False,0.041653,0.0,0.0,0.0,0.54293,0.552461,True,0.250185,1,1,1,3,importance
VIRAT_S_050201_06_001168_001240,30,1.001,2,merged,"0,3,15",13,0,8,0.7258,0.9584,0,432,192,918,192,486,0.045,15226.6094,0.16318,0.695687,0.16318,96.0,675.0,0.3951,4.713993,2.043783,0.245131,False,0.014253,0.0,0.0,0.0,0.53544,0.552461,True,0.247237,3,2,4,2,importance
VIRAT_S_050201_06_001168_001240,30,1.001,3,merged,"1,4,5,6,9,12,13,16,18,25",13,5,19,0.7976,0.973,384,324,864,1080,480,756,0.175,37506.957,0.103359,0.34427,0.103359,624.0,702.0,0.6349,2.39045,1.294547,0.871576,False,0.056771,0.0,0.0,0.0,0.54055,0.552461,True,0.24524,2,3,5,2,importance
