video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag,blob_importance,rank_by_motion_energy,rank_by_importance
VIRAT_S_050201_06_001168_001240,6,0.2002,0,merged,"0,1,2,3,4,5,6",10,10,244,0.0,0.0,0,0,1920,1080,1920,1080,1.0,141843.2188,0.068404,1.0,0.068404,960.0,540.0,1.7778,1.0,1.0,1.0,False,0.060706,0.0,0.0,0.0,0.2,0.553947,False,0.3,1,1
VIRAT_S_050201_06_001168_001240,12,0.4004,0,merged,0,9,10,386,1.6217,0.9903,0,0,1920,1080,1920,1080,1.0,199040.9844,0.095988,1.0,0.095988,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.059256,0.0,0.0,0.0,0.546605,0.553133,False,0.3,1,1
VIRAT_S_050201_06_001168_001240,18,0.6006,0,merged,0,1,12,1,0.6023,0.9565,1152,54,1248,108,96,54,0.0025,1145.3969,0.220948,0.694613,0.220948,1200.0,81.0,1.7778,19.996001,2.081914,1.0,True,0.03125,0.0,0.0,0.0,0.534775,0.550533,False,0.24,2,2
VIRAT_S_050201_06_001168_001240,18,0.6006,1,merged,1,13,14,1,0.5819,0.9143,1344,702,1440,756,96,54,0.0025,1498.9218,0.289144,0.563105,0.289144,1392.0,729.0,1.7778,19.996001,2.724494,1.0,True,0.002122,0.0,0.0,0.0,0.520005,0.550533,False,0.36,1,1
VIRAT_S_050201_06_001168_001240,24,0.8008,0,merged,"0,21,22",12,0,5,0.8761,0.9202,0,486,192,810,192,324,0.03,9517.0625,0.152988,0.757608,0.152988,96.0,648.0,0.5926,5.773406,2.330238,1.0,False,0.013455,0.0,0.0,0.0,0.52207,0.552464,True,0.404683,3,2
VIRAT_S_050201_06_001168_001240,24,0.8008,1,merged,"1,4,7,8,9,10,12,13,14,17,18,19",12,13,19,1.3402,0.967,1056,324,1632,1026,576,702,0.195,35769.1914,0.088461,0.501933,0.088461,1344.0,675.0,0.8205,2.264548,1.347389,0.655947,False,0.032457,0.0,0.0,0.0,0.53845,0.552464,True,0.19307,1,5
VIRAT_S_050201_06_001168_001240,24,0.8008,2,merged,"2,3,5,11,15,16,20",13,5,14,0.8247,0.9657,384,324,672,1080,288,756,0.105,22097.3555,0.101491,0.31892,0.101491,528.0,702.0,0.381,3.086052,1.545858,1.0,False,0.035099,0.0,0.0,0.0,0.537995,0.552464,True,0.32972,2,3
VIRAT_S_050201_06_001168_001240,24,0.8008,3,merged,6,1,12,1,1.0648,0.9532,1152,54,1248,108,96,54,0.0025,614.0134,0.118444,0.218814,0.118444,1200.0,81.0,1.7778,19.996001,1.804083,0.0,True,0.029128,0.0,0.0,0.0,0.53362,0.552464,True,0.323206,4,4
VIRAT_S_050201_06_001168_001240,24,0.8008,4,merged,23,0,6,1,0.9154,0.9402,576,0,672,54,96,54,0.0025,589.562,0.113727,0.257581,0.113727,624.0,27.0,1.7778,19.996001,1.73224,1.0,True,0.0,0.0,0.0,0.0,0.52907,0.552464,True,0.406715,5,1
VIRAT_S_050201_06_001168_001240,30,1.001,0,merged,"0,3,15",13,0,8,0.7258,0.9584,0,432,192,918,192,486,0.045,15226.6094,0.16318,0.695687,0.16318,96.0,675.0,0.3951,4.713993,2.043783,0.245131,False,0.014253,0.0,0.0,0.0,0.53544,0.552461,True,0.218397,3,2
VIRAT_S_050201_06_001168_001240,30,1.001,1,merged,"1,4,5,6,9,12,13,16,18,25",13,5,19,0.7976,0.973,384,324,864,1080,480,756,0.175,37506.957,0.103359,0.34427,0.103359,624.0,702.0,0.6349,2.39045,1.294547,0.871576,False,0.056771,0.0,0.0,0.0,0.54055,0.552461,True,0.149216,2,3
VIRAT_S_050201_06_001168_001240,30,1.001,2,merged,"2,8,10,11,17,19,20,21,22,23,24,26,27,28",10,13,26,0.99,0.9798,960,162,1632,1026,672,864,0.28,53232.6875,0.091684,0.493838,0.091684,1296.0,594.0,0.7778,1.889819,1.148324,0.854817,False,0.041653,0.0,0.0,0.0,0.54293,0.552461,True,0.132012,1,4
VIRAT_S_050201_06_001168_001240,30,1.001,3,merged,7,0,6,3,0.8854,0.9603,480,0,672,108,192,108,0.01,2038.5786,0.098311,0.280575,0.098311,576.0,54.0,1.7778,9.9995,1.231322,0.5,False,0.066696,0.0,0.0,0.0,0.536105,0.552461,True,0.001604,4,5
VIRAT_S_050201_06_001168_001240,30,1.001,4,merged,14,19,2,1,0.6715,0.9915,192,1026,288,1080,96,54,0.0025,674.4398,0.1301,0.23017,0.1301,240.0,1053.0,1.7778,19.996001,1.629474,1.0,True,0.000579,0.0,0.0,0.0,0.547025,0.552461,True,0.603808,5,1
VIRAT_S_050201_06_001168_001240,36,1.2012,0,merged,0,9,10,379,0.9535,0.9816,0,0,1920,1080,1920,1080,1.0,177245.75,0.085477,1.0,0.085477,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060643,0.0,0.0,0.0,0.54356,0.551433,False,0.3,1,1
VIRAT_S_050201_06_001168_001240,42,1.4014,0,merged,0,5,16,5,0.565,0.9534,1440,216,1728,378,288,162,0.0225,6185.8193,0.132584,0.540388,0.132584,1584.0,297.0,1.7778,6.666519,1.480011,1.0,False,0.02542,0.0,0.0,0.0,0.53369,0.550741,False,0.286732,2,4
VIRAT_S_050201_06_001168_001240,42,1.4014,1,merged,1,13,14,1,0.7172,0.8797,1344,702,1440,756,96,54,0.0025,1099.7374,0.212141,0.518157,0.212141,1392.0,729.0,1.7778,19.996001,2.368096,0.0,True,0.002122,0.0,0.0,0.0,0.507895,0.550741,False,0.345,3,3
