track_id,class_name,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,num_visible_frames,num_observed_motion_frames,num_weak_motion_frames,num_detector_only_frames,observed_motion_ratio,weak_motion_ratio,mean_motion_inside_bbox,max_motion_inside_bbox,mean_motion_coverage,mean_motion_density,max_motion_density,associated_motion_blob_count,mean_associated_blob_importance,track_displacement_px,normalized_track_displacement,trajectory_length,mean_speed,median_speed,bbox_jitter_score,class_weight,track_motion_importance,is_stationary_track,is_moving_track,track_state
1,car,6,2142,0.2002,71.4714,71.2712,357,15,29,313,0.042017,0.081232,0.054914,0.170349,0.39984,1.344185,16.990701,15,0.28151,3.6,0.001636,344.92,4.8396,3.5121,95.6812,0.95,0.0,True,False,stationary_vehicle
2,car,6,2142,0.2002,71.4714,71.2712,357,8,24,325,0.022409,0.067227,0.049258,0.167313,0.363728,1.188764,16.356727,8,0.274034,2.43,0.001101,267.0,3.7462,2.561,110.0897,0.95,0.0,True,False,stationary_vehicle
3,car,6,2142,0.2002,71.4714,71.2712,357,4,27,326,0.011204,0.07563,0.049746,0.170342,0.36914,1.227969,16.991847,6,0.18525,1.34,0.000609,310.21,4.3525,3.2747,231.151,0.95,0.0,True,False,stationary_vehicle
4,car,6,2142,0.2002,71.4714,71.2712,357,32,23,302,0.089636,0.064426,0.050974,0.161305,0.394343,1.211474,16.309359,32,0.242556,2.28,0.001033,323.69,4.5416,3.4731,142.2697,0.95,0.0,True,False,stationary_vehicle
5,car,6,2142,0.2002,71.4714,71.2712,357,3,31,323,0.008403,0.086835,0.055383,0.179895,0.398901,1.372394,17.586747,3,0.286413,1.94,0.000879,235.39,3.3028,2.182,121.5445,0.95,0.0,True,False,stationary_vehicle
6,car,6,2142,0.2002,71.4714,71.2712,357,0,41,316,0.0,0.114846,0.060556,0.19329,0.42655,1.524818,19.319783,0,0.0,3.33,0.001513,570.6,8.006,5.8275,171.2272,0.95,0.0,True,False,stationary_vehicle
7,car,6,2142,0.2002,71.4714,71.2712,357,6,28,323,0.016807,0.078431,0.052535,0.157289,0.371136,1.292114,15.316089,6,0.280413,3.45,0.001565,293.83,4.1227,2.906,85.2129,0.95,0.0,True,False,stationary_vehicle
8,car,6,2142,0.2002,71.4714,71.2712,339,7,26,306,0.020649,0.076696,0.053013,0.168709,0.391424,1.308735,16.366795,7,0.216951,13.44,0.006099,650.44,9.1263,6.6934,48.4114,0.95,0.0,True,False,stationary_vehicle
9,car,6,2142,0.2002,71.4714,71.2712,356,2,31,323,0.005618,0.087079,0.056452,0.185311,0.411129,1.394751,20.154115,2,0.263427,4.56,0.002069,363.55,5.101,3.7047,79.7753,0.95,0.0,True,False,stationary_vehicle
10,car,6,2142,0.2002,71.4714,71.2712,357,0,28,329,0.0,0.078431,0.050155,0.18106,0.379173,1.234929,18.894973,0,0.0,3.43,0.001559,1029.15,14.44,10.1164,299.668,0.95,0.0,True,False,stationary_vehicle
11,car,6,2142,0.2002,71.4714,71.2712,357,1,34,322,0.002801,0.095238,0.06018,0.194752,0.426627,1.509054,20.64892,2,0.004843,5.4,0.002451,282.79,3.9678,3.1167,52.3724,0.95,0.0,True,False,stationary_vehicle
12,truck,6,2142,0.2002,71.4714,71.2712,351,4,39,308,0.011396,0.111111,0.061567,0.189936,0.444855,1.548588,20.166116,5,0.122937,5.61,0.002544,815.78,11.4461,7.6761,145.5412,0.9,0.0,True,False,stationary_vehicle
